"Source:","D:\.rpv\.documents\rTronic\rMilliOhm\rMilliOhm.sch"
"Date:","11.06.2019 21.02.50"
"Tool:","Eeschema (5.1.2)-1"
"Component Count:","37"
"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor"
"C1","22uF","Capacitors_SMD:C_0805","~","",""
"C2","22uF","Capacitors_SMD:C_0805","~","",""
"C3","22uF","Capacitors_SMD:C_0805","~","",""
"C4","100uF","Capacitors_SMD:C_1206","~","",""
"C5","100uF","Capacitors_SMD:C_1206","~","",""
"C6","100nF","Capacitors_SMD:C_0805","~","",""
"C7","220nF","Capacitors_SMD:C_0805","~","",""
"C8","100nF","Capacitors_SMD:C_0805","~","",""
"C9","100nF","Capacitors_SMD:C_0805","~","",""
"C10","100nF","Capacitors_SMD:C_0805","~","",""
"D1","LM336","TO_SOT_Packages_THT:TO-92_Horizontal2_Molded_Narrow","","",""
"D2","LED","LEDs:LED_0805","~","",""
"J1","Battery2S","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm","~","",""
"J2","Kelvin",".rpvM:Banana-4mmx4","","",""
"J3","Out",".rpvM:Banana_4mmx2","","",""
"Q1","AO3401A","TO_SOT_Packages_SMD:SOT-23","","",""
"Q2","FS8205A",".rpvM:TSSOP-8_6.4x2.93_0.65mm","","",""
"R1","1R","Resistors_SMD:R_0603","~","",""
"R2","1K","Resistors_SMD:R_0603","~","",""
"R3","510K","Resistors_SMD:R_0603","~","",""
"R4","1K","Resistors_SMD:R_0603","~","",""
"R5","5K","Resistors_SMD:R_0603","~","",""
"R6","5K","Resistors_SMD:R_0603","~","",""
"R7","5K","Resistors_SMD:R_0603","~","",""
"R8","5K","Resistors_SMD:R_0603","~","",""
"R9","5K","Resistors_SMD:R_0603","~","",""
"R10","5K","Resistors_SMD:R_0603","~","",""
"R11","100R","Resistors_SMD:R_0603","~","",""
"R12","220R","Resistors_SMD:R_0603","~","",""
"RV1","10K","Potentiometers:Potentiometer_Trimmer_Bourns_3296W","~","",""
"SW1","ON/OFF","Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm","","",""
"U1","AMS1117-3.3","TO_SOT_Packages_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf","",""
"U2","ICL7660","SMD_Packages:SOIC-8-N","http://datasheets.maximintegrated.com/en/ds/ICL7660-MAX1044.pdf","",""
"U3","LMV321","TO_SOT_Packages_SMD:SOT-23-5","http://www.ti.com/lit/ds/symlink/lmv324.pdf","",""
"U4","OP07","SMD_Packages:SOIC-8-N","http://www.analog.com/media/en/technical-documentation/data-sheets/OP07.pdf","",""
"U5","OP07","SMD_Packages:SOIC-8-N","http://www.analog.com/media/en/technical-documentation/data-sheets/OP07.pdf","",""
"U6","OP07","SMD_Packages:SOIC-8-N","http://www.analog.com/media/en/technical-documentation/data-sheets/OP07.pdf","",""
